"Datadate","Group_Id","KPI1_Data","KPI2_Data","KPI3_Data","KPI4_Data","KPI5_Data","Lvl1_Code","Lvl2_Code","Lvl3_Code"
"11/30/2025","1","4","0.01","0.00003","1","4","91","35","602"
"11/30/2025","1","0","0.06","0.00009","1","11","91","2","15"
"11/30/2025","1","1","0.1","0.000081","0","196","91","9","160"
"11/30/2025","1","0","0.102","0.000203","0","2","91","33","730"
"11/30/2025","1","0","0.21","0.000378","0","2","91","16","270"
"11/30/2025","1","22","0.421","0.003288","1","5","91","29","527"
"11/30/2025","1","51","0.5","0.001","1","3","91","18","283"
"11/30/2025","1","7","0.56","0.02492","1","5","91","29","535"
"11/30/2025","1","119","0.573","0.008284","1","7","91","28","517"
"11/30/2025","1","2","0.86","0.001604","1","2","91","24","444"
"11/30/2025","1","1121","0.95","0.012982","1","1","91","28","510"
"11/30/2025","1","50","1.28369","0.001186","1","11","91","28","519"
"11/30/2025","1","1","1.6","0.00392","0","259","91","9","156"
"11/30/2025","1","10","1.8889999999999998","0.005365","1","14","91","16","269"
"11/30/2025","1","23","2.322","0.022059","1","6","91","29","548"
"11/30/2025","1","1","2.49","0.011193","1","4","91","23","420"
"11/30/2025","1","168","2.5","0.005200000000000001","1","21","91","10","200"
"11/30/2025","1","3","3.5","0.0091","1","9","91","23","390"
"11/30/2025","1","5","4.1899999999999995","0.009805","1","14","91","23","436"
"11/30/2025","1","11","4.415","0.022838999999999998","1","16","91","16","652"
"11/30/2025","1","6","4.71","0.027425","1","9","91","16","654"
"11/30/2025","1","13","4.845000000000001","0.029460999999999998","1","1","91","16","655"
"11/30/2025","1","22","5.001","0.01035","1","3","91","18","285"
"11/30/2025","1","1600","5.166499999999999","0.009744","1","746","91","8","88"
"11/30/2025","1","18","5.48","0.027062","1","8","91","16","271"
"11/30/2025","1","10","6.13","0.006588","0","10","91","33","587"
"11/30/2025","1","2300","7.237","0.103813","1","3","91","1","621"
"11/30/2025","1","17","7.32","0.035577","1","13","91","16","653"
"11/30/2025","1","22","9.16382","0.195314","0","2","91","33","577"
"11/30/2025","1","47","11.4","0.023256","1","2","91","18","297"
"11/30/2025","1","63","13.3","0.03429","1","91","91","10","224"
"11/30/2025","1","387","17.529999999999998","0.09645999999999999","1","82","91","10","208"
"11/30/2025","1","73","20.2","0.040607000000000004","2","124","91","23","429"
"11/30/2025","1","11","22.32515","0.623011","4","443","91","30","552"
"11/30/2025","1","541","23.034","0.079275","1","38","91","32","567"
"11/30/2025","1","6073","24.88301","0.087348","1","14","91","20","340"
"11/30/2025","1","138","29.125","0.07373800000000001","1","29","91","10","217"
"11/30/2025","1","9","29.29","0.11682200000000001","1","8","91","13","757"
"11/30/2025","1","257","37.2","0.114439","1","151","91","10","221"
"11/30/2025","1","4","43.05","0.237883","1","6","91","13","249"
"11/30/2025","1","288","43.779999999999994","0.10279100000000001","1","54","91","10","213"
"11/30/2025","1","8","48.440000000000005","0.654595","1","3","91","16","272"
"11/30/2025","1","6","49.49","0.278602","1","10","91","13","615"
"11/30/2025","1","7","57.65","0.24483","1","9","91","13","764"
"11/30/2025","1","382","62.55","0.189265","1","11","91","10","189"
"11/30/2025","1","352","67.089","0.16009700000000002","1","21","91","10","215"
"11/30/2025","1","37429","67.17","0.113486","1","52","91","20","337"
"11/30/2025","1","97","67.325","0.108312","2","9","91","24","669"
"11/30/2025","1","16","67.81","0.316573","2","19","91","13","613"
"11/30/2025","1","14","69.83","0.2158","1","12","91","13","247"
"11/30/2025","1","194","70","0.244056","1","27","91","10","214"
"11/30/2025","1","445","70.055","0.218555","1","11","91","10","191"
"11/30/2025","1","15","77.28999999999999","0.188388","1","11","91","13","614"
"11/30/2025","1","23","78.884","0.335518","2","229","91","23","639"
"11/30/2025","1","17","93.27000000000001","0.413744","2","17","91","13","248"
"11/30/2025","1","249","95.816","0.241289","3","459","91","23","412"
"11/30/2025","1","273","100.875","0.282148","1","95","91","10","218"
"11/30/2025","1","143","105.09","1.812428","1","32","91","10","195"
"11/30/2025","1","109","111.625","0.309193","1","11","91","10","209"
"11/30/2025","1","423","114.36500000000001","0.29795","1","6","91","10","196"
"11/30/2025","1","14","116.23","0.78741","1","10","91","13","245"
"11/30/2025","1","8297","118.3","0.199146","1","39","91","20","327"
"11/30/2025","1","120","118.5346186","1.003286","1","77","91","33","731"
"11/30/2025","1","1048","150.32885","0.598437","2","195","91","32","565"
"11/30/2025","1","9","153.68","0.59615","2","11","91","13","251"
"11/30/2025","1","12","155.78","0.525568","1","18","91","13","244"
"11/30/2025","1","30","162.34","0.888904","2","21","91","13","250"
"11/30/2025","1","9731","169.6485","0.500623","1","20","91","20","331"
"11/30/2025","1","31","175.21","0.716615","3","30","91","13","246"
"11/30/2025","1","20","191.27499999999998","0.16969800000000002","1","77","91","5","52"
"11/30/2025","1","522","199.75","0.543115","1","42","91","10","194"
"11/30/2025","1","5","224.55","0.52721","1","64","91","23","433"
"11/30/2025","1","11679","272.2","0.766271","1","28","91","20","342"
"11/30/2025","1","19","303.9498","1.219839","3","559","91","30","551"
"11/30/2025","1","318","308.45859","1.0182749999999998","1","116","91","32","561"
"11/30/2025","1","1312","315.51931","0.918711","2","99","91","32","555"
"11/30/2025","1","10435","322.949","0.566004","1","75","91","20","336"
"11/30/2025","1","16033","355.39","0.647053","1","199","91","20","322"
"11/30/2025","1","240","393.775","2.356617","1","20","91","10","201"
"11/30/2025","1","150","424.553","0.906357","3","24","91","24","452"
"11/30/2025","1","267","425.25","0.993506","1","202","91","10","188"
"11/30/2025","1","143","484.26","2.0904890000000003","1","59","91","10","212"
"11/30/2025","1","8","495.41706","2.496271","1","17","91","2","19"
"11/30/2025","1","156","521.549","1.458841","1","7","91","10","205"
"11/30/2025","1","4986","546.49","1.222807","1","97","91","20","326"
"11/30/2025","1","127","574.77","1.478525","1","92","91","22","383"
"11/30/2025","1","1518","690.0545","1.064813","1","453","91","8","99"
"11/30/2025","1","309","732.0250000000001","2.674833","1","42","91","10","193"
"11/30/2025","1","482","744.64175","5.471765","1","22","91","36","685"
"11/30/2025","1","9","781.7","1.6645619999999999","1","55","91","23","638"
"11/30/2025","1","646","851.181","0.761739","1","9","91","27","492"
"11/30/2025","1","1637","915.683","2.158894","1","399","91","19","317"
"11/30/2025","1","15902","925.9920000000001","1.618873","1","56","91","20","329"
"11/30/2025","1","12033","990.99","1.514849","2","389","91","20","343"
"11/30/2025","1","65","1078","2.942904","1","49","91","22","380"
"11/30/2025","1","130","1120.81879","6.779105","0","17","91","33","610"
"11/30/2025","1","122","1138.31","5.910528","1","22","91","1","12"
"11/30/2025","1","510","1214.0819999999999","6.872072","1","9","91","1","626"
"11/30/2025","1","8","1224.06","3.204357","1","130","91","23","395"
"11/30/2025","1","11521","1224.9025900000001","1.800833","1","98","91","20","607"
"11/30/2025","1","2","1288.05","3.026493","0","36","91","9","181"
"11/30/2025","1","16270","1315.86","2.6222719999999997","1","185","91","20","338"
"11/30/2025","1","3760","1431.10046","2.803737","1","294","91","19","303"
"11/30/2025","1","1317","1664.53","1.422946","1","83","91","3","608"
"11/30/2025","1","34","1679","3.842775","1","48","91","22","389"
"11/30/2025","1","16279","1826.175","3.833817","1","449","91","20","339"
"11/30/2025","1","1324","2060.0385","2.854689","2","585","91","8","103"
"11/30/2025","1","23263","2213.43086","5.487684","1","211","91","20","325"
"11/30/2025","1","4870","2264.335","6.0984","1","262","91","19","664"
"11/30/2025","1","17146","2482.82481","5.0480849999999995","1","103","91","20","328"
"11/30/2025","1","912","2628.706","7.789854","7","192","91","3","32"
"11/30/2025","1","15354","2651.3770999999997","5.476001","1","121","91","20","334"
"11/30/2025","1","1393","2693.7059999999997","12.303733000000001","2","23","91","24","674"
