state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,,,,,,,,,,,,
ANDHRA PRADESH,276,TON,33,,,,2207488.03228000,,,,2.20866500,10601.704900,2706,2201,1425183,,,2706
ASSAM,38,TON,3,,,,,,,,,,,,,,,
BIHAR,33,TON,20,,,,,,,,,,,,,,,91
CHANDIGARH,526,TON,1,,,,80063.57659000,,,,0.08006600,63.006223,49,45,7106,,,1
CHHATTISGARH,100,TON,20,,,,385764.12084000,,,,0.38587400,805.790912,2998,225,134737,,,0
GOA,34,TON,7,,,,,,,,,,,,,,,
GUJARAT,22,TON,144,,,,1297735.34113000,,,,1.29831600,4971.934521,9016,6695,864988,,,0
HARYANA,32,TON,108,,,,10944576.57979000,,,,10.94506100,26421.276762,9856,20728,2716618,,,43
HIMACHAL PRADESH,43,TON,38,,,,140846.42690000,,,,0.14099100,469.476614,1916,1098,118250,,,0
JAMMU AND KASHMIR,696,TON,17,,,,,,,,,,,,,,,362
JHARKHAND,,NOS,,,,,2549.00000000,,,,0.00025500,0.010181,,,,,,
JHARKHAND,47,TON,19,,,,6835.65175000,,,,0.00683700,10.759831,1798,,83029,,,40
KARNATAKA,695,TON,5,,,,,,,,,,,,,,,15
KERALA,694,TON,6,,,,,,,,,,,,,,,3
MADHYA PRADESH,20,TON,139,,,,2011509.77611000,,,,2.01222200,6063.663053,19855,,3010001,,,1113
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,1,,,596759.20000000,,,,0.59693000,1756.829391,16056,13133,1138110,,,0
NAGALAND,35,TON,19,,,,,,,,,,,,,,,
ODISHA,,NOS,,,,,2861493.00000000,,,,0.28614900,51.974690,,,,,,
ODISHA,384,TON,66,1,,,29557.51404000,,,,0.02956100,110.676271,750,,52619,,,750
PUDUCHERRY,599,TON,2,,,,12291.81700000,,,,0.01230000,32.796928,101,,10584,,,0
PUNJAB,602,TON,79,,,,417106.89856000,,,,0.41719100,1262.315082,1192,4992,210423,,,0
RAJASTHAN,26,TON,173,1,,,1270800.16391000,,,,1.27111600,4517.292208,11670,5126,1305895,,,11670
TAMIL NADU,,NOS,,,,,205163.00000000,,,,0.02051600,0.388479,,,,,,
TAMIL NADU,509,TON,213,,,,139833.74955000,,,,0.13990000,288.821403,2001,0,201448,,,2312
TELANGANA,28,TON,57,,,,2725232.75049000,,,,2.72664800,8428.853415,5308,4137,1815600,,,5308
TRIPURA,36,TON,19,,,,,,,,,,,,,,,3
UTTAR PRADESH,46,TON,162,,,,3130432.82973000,,,,3.13048300,4864.636900,32961,8414,3296691,,,32153
UTTARAKHAND,385,TON,20,,,,167476.93919000,,,,0.16749200,202.631316,4554,2571,47580,,,4554
WEST BENGAL,,NOS,,,,,160.00000000,,,,0.00001600,0.000208,,,,,,
WEST BENGAL,569,TON,18,,,,1950.17094000,,,,0.00195900,2.587805,1757,74,12736,,,0
