state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,19,17,2694.74860000,9392787.40339000,0.00269606,9.734367,,9.39845502,61053.777020,3928,2366,1454249,2261,,3928
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,119,,,
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
BIHAR,33,TON,20,,,,3594.79300000,,,,0.00360684,14.046969,1012,,5228,,,93
CHANDIGARH,526,TON,1,1,,,809583.22841000,,,50,0.80960796,1640.453347,121,119,7109,,,1
CHHATTISGARH,100,TON,20,15,15,1359.21600000,1488130.82035000,0.00135948,2.965060,623,1.48848482,3131.769804,3753,256,136286,676,,0
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,1002,,30,,,1
GUJARAT,22,TON,144,46,37,851.56400000,3044186.61813000,0.00085192,3.885472,,3.04528439,12127.867592,10288,7190,869885,474,,0
HARYANA,32,TON,108,82,43,8169.69600000,34584340.91104000,0.00817009,26.985756,2515,34.69340128,111657.830155,17727,30720,2727259,4329,,45
HIMACHAL PRADESH,43,TON,38,15,13,198.00379000,473632.33152000,0.00019825,1.032246,257,0.47445165,1826.339190,2341,1161,125670,242,,0
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JAMMU AND KASHMIR,696,TON,17,12,12,1223.38900000,190788.15333000,0.00122339,7.171489,,0.19079748,1170.768145,2751,200,52145,82,,399
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
JHARKHAND,47,TON,19,2,2,12.42000000,34616.63296000,0.00001242,0.024358,,0.03461951,68.779872,2564,,267574,4,,42
KARNATAKA,695,TON,5,2,2,143.90000000,262605.73806000,0.00014390,0.848575,,0.26260587,1899.346521,849,854,1563,46,,15
KERALA,694,TON,6,1,1,0.00500000,779.14687000,0.00000001,0.000133,,0.00078661,2.552078,444,,3198,1,,3
MADHYA PRADESH,20,TON,139,48,39,3741.40900000,10714968.97448000,0.00374203,12.230283,994,10.71725342,35811.441777,25949,,3025270,1564,,1088
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,60,29,1299.47597000,5869681.24583500,0.00129962,3.880094,605,9.54318200,21886.083283,23566,18490,1246321,642,,0
NAGALAND,35,TON,19,4,3,1.45000000,1214.97000000,0.00000145,0.008960,,0.00121497,5.346236,182,,184,3,,
ODISHA,384,TON,66,33,35,3548.71000000,2455458.87343000,0.00354885,8.861506,263,2.45557407,6162.071067,10169,,471764,392,,10169
ODISHA,384,NOS,,3,3,1286569.00000000,477333059.00000000,0.12865690,0.104059,,47.73330560,118.024332,,,,44,,
PUDUCHERRY,599,TON,2,,,,54295.58086220,,,,1.74314285,204.405798,234,,13630,,,0
PUNJAB,602,TON,79,30,26,3953.32250000,4287870.71698000,0.00395450,12.227225,661,4.28847152,13878.775897,4276,12499,217931,873,,0
RAJASTHAN,26,TON,173,130,106,18784.20145000,29806245.34395000,0.01883535,72.883032,8867,29.82701016,123186.743857,87101,27697,1551075,10857,,87101
RAJASTHAN,26,NOS,,2,2,4367.00000000,11601328.00000000,0.00043670,0.008188,,1.16013280,22.342983,,,,11,,
TAMIL NADU,509,NOS,,2,2,4572.00000000,32267671.00000000,0.00045720,0.006382,,3.22676680,34.204208,,,,4,,
TAMIL NADU,509,TON,213,87,88,3316.29777000,3309803.22985580,0.00331787,8.216005,1647,34.17097375,8949.584476,12927,0,472476,2817,,2632
TELANGANA,28,TON,57,16,13,556.99740000,7627651.92571000,0.00055720,1.670495,138,7.63113863,28585.487329,6380,5241,1823964,465,,6380
TRIPURA,36,TON,19,,,,67.56300000,,,,0.00006760,0.761776,66,,83,,,3
UTTAR PRADESH,46,TON,162,114,98,3818.85000000,7941312.75560000,0.00381885,8.604288,720,7.94146456,15576.977996,40789,8575,3305530,1237,,32193
UTTARAKHAND,385,TON,20,17,17,891.37000000,963151.35803000,0.00089141,1.569132,410,0.96324757,1532.280928,6252,2727,92277,419,,6252
WEST BENGAL,569,TON,18,8,8,28.77500000,109586.83560000,0.00002881,0.077633,65,0.10969693,220.096399,5775,125,102960,65,,0
WEST BENGAL,569,NOS,,,,,531100.00000000,,,,0.05311000,0.033243,,,,,,0
